family,dataset,model,condition,mean_reward,n
medqa,medqa,opus-4_8-high,none,0.9200,100
medqa,medqa,opus-4_8-high,shuffle,0.9200,100
medqa,medqa,opus-4_8-high,remove_answer,0.8200,100
medqa,medqa,opus-4_8-high,remove_context,0.8000,100
medqa,medqa,gpt-5_5-high,none,0.9400,100
medqa,medqa,gpt-5_5-high,shuffle,0.9800,100
medqa,medqa,gpt-5_5-high,remove_answer,0.8800,100
medqa,medqa,gpt-5_5-high,remove_context,0.8300,100
medqa,medqa,grok-4_3,none,0.9600,100
medqa,medqa,grok-4_3,shuffle,0.9500,100
medqa,medqa,grok-4_3,remove_answer,0.8900,100
medqa,medqa,grok-4_3,remove_context,0.9000,100
medqa,medqa,gemini-3_1-pro-high,none,0.1100,100
medqa,medqa,gemini-3_1-pro-high,shuffle,0.0000,100
medqa,medqa,gemini-3_1-pro-high,remove_answer,0.0000,100
medqa,medqa,gemini-3_1-pro-high,remove_context,0.0000,100
healthbench,consensus,opus-4_8-high,baseline,0.9667,50
healthbench,consensus,opus-4_8-high,probe,0.9200,50
healthbench,consensus,gpt-5_5-high,baseline,0.9667,50
healthbench,consensus,gpt-5_5-high,probe,0.7200,50
healthbench,consensus,grok-4_3,baseline,0.9033,50
healthbench,consensus,grok-4_3,probe,0.8000,50
healthbench,consensus,gemini-3_1-pro-high,baseline,0.1133,50
healthbench,consensus,gemini-3_1-pro-high,probe,0.1800,50
